Year,Bracket,StampDuty
1997,"£100,000",1
1998,"£100,000",1
1999,"£100,000",1
2000,"£100,000",1
2001,"£100,000",1
2002,"£100,000",1
2003,"£100,000",1
2004,"£100,000",1
2005,"£100,000",0
2006,"£100,000",0
2007,"£100,000",0
2008,"£100,000",0
2009,"£100,000",0
2010,"£100,000",0
2011,"£100,000",0
2012,"£100,000",0
2013,"£100,000",0
2014,"£100,000",0
2015,"£100,000",0
2016,"£100,000",0
2017,"£100,000",0
2018,"£100,000",0
2019,"£100,000",0
2020,"£100,000",0
2021,"£100,000",0
2022,"£100,000",0
1997,"£200,000",1
1998,"£200,000",1
1999,"£200,000",1
2000,"£200,000",1
2001,"£200,000",1
2002,"£200,000",1
2003,"£200,000",1
2004,"£200,000",1
2005,"£200,000",1
2006,"£200,000",1
2007,"£200,000",1
2008,"£200,000",1
2009,"£200,000",1
2010,"£200,000",1
2011,"£200,000",1
2012,"£200,000",1
2013,"£200,000",2
2014,"£200,000",2
2015,"£200,000",2
2016,"£200,000",2
2017,"£200,000",2
2018,"£200,000",2
2019,"£200,000",2
2020,"£200,000",0
2021,"£200,000",2
2022,"£200,000",0
1997,"£300,000",1.5
1998,"£300,000",2
1999,"£300,000",2.5
2000,"£300,000",3
2001,"£300,000",3
2002,"£300,000",3
2003,"£300,000",3
2004,"£300,000",3
2005,"£300,000",3
2006,"£300,000",3
2007,"£300,000",3
2008,"£300,000",3
2009,"£300,000",3
2010,"£300,000",3
2011,"£300,000",3
2012,"£300,000",3
2013,"£300,000",5
2014,"£300,000",5
2015,"£300,000",5
2016,"£300,000",5
2017,"£300,000",5
2018,"£300,000",5
2019,"£300,000",5
2020,"£300,000",5
2021,"£300,000",5
2022,"£300,000",5
1997,"£500,000",2
1998,"£500,000",2
1999,"£500,000",2.5
2000,"£500,000",3
2001,"£500,000",3
2002,"£500,000",3
2003,"£500,000",3
2004,"£500,000",3
2005,"£500,000",3
2006,"£500,000",3
2007,"£500,000",3
2008,"£500,000",3
2009,"£500,000",3
2010,"£500,000",3
2011,"£500,000",3
2012,"£500,000",4
2013,"£500,000",5
2014,"£500,000",5
2015,"£500,000",5
2016,"£500,000",5
2017,"£500,000",5
2018,"£500,000",5
2019,"£500,000",5
2020,"£500,000",5
2021,"£500,000",5
2022,"£500,000",5
1997,£1m,2
1998,£1m,3
1999,£1m,3.5
2000,£1m,4
2001,£1m,4
2002,£1m,4
2003,£1m,4
2004,£1m,4
2005,£1m,4
2006,£1m,4
2007,£1m,4
2008,£1m,4
2009,£1m,4
2010,£1m,4
2011,£1m,4
2012,£1m,5
2013,£1m,10
2014,£1m,10
2015,£1m,10
2016,£1m,10
2017,£1m,10
2018,£1m,10
2019,£1m,10
2020,£1m,10
2021,£1m,10
2022,£1m,10
1997,£2m,2
1998,£2m,3
1999,£2m,3.5
2000,£2m,4
2001,£2m,4
2002,£2m,4
2003,£2m,4
2004,£2m,4
2005,£2m,4
2006,£2m,4
2007,£2m,4
2008,£2m,4
2009,£2m,4
2010,£2m,4
2011,£2m,5
2012,£2m,7
2013,£2m,12
2014,£2m,12
2015,£2m,12
2016,£2m,12
2017,£2m,12
2018,£2m,12
2019,£2m,12
2020,£2m,12
2021,£2m,12
2022,£2m,12
